00400F	0.76	1.83	1.335	1.645
00460G	0.88	1.18	0.13	0.2
00HH01	0.1	1.45	0.09	0.39
00670F	0.07	0.73	0.88	0.88
00HH02	0.93	1.84	0.22	1.01
00HH10	0.76	0.73	0.78	0.22
00430R	0.53	1.08	0.93	1.78
00460H	0.29	1.65	0.03	0.34
00HH17	0.34	0.86	0.44	1.36
62960S	0.26	0.31	0.13	0.21
00470Z	0.03	1.1	0.84	1.4
00410H	0.76	0.43	0.62	1.24
00SNP2	0.98	0.71	0.25	0.21
00060F	0.42	0.5	0.23	1.16
2003	0.21	1.51	0.26	1.45
F591SP	0.3	1.04	0.92	1.4
00470B	0.26	1.93	0.51	0.6
00000F	0.67	1.61	0.22	1.53
5033FP	0.58	1.91	0.06	0.66
00HH18	0.59	0.76	0.05	1.45
00HH19	0.89	1.9	0.12	0.35
00470F	0.31	1.74	0.75	0.17
00440F	0.42	0.23	0.07	1.93
00530B	0.39	1.77	0.12	1.35
00411J	0.3	0.49	0.06	0.61
2005	0.79	1.19	0	1.18
00SNP1	0.76	1.31	0.54	0.41
2007	0.25	1.67	0.26	1.5
4003	0.11	1.47	0.83	0.73
00670H	0.07	0.31	0.83	1.36
